family_event_id,primary_event_id,decision_bar_time,direction,level_kind,stop_distance_points,spread_points,measured_cost_r_proxy,net_after_proxy_from_gross_r,net_delta_vs_assumed_baseline_r,diagnosis,suggested_reviewer_annotation,codex_review_decision,future_rule,review_notes
FAM00003,PH3EXP00005,2026.05.22 12:45:00,LONG,latest_swing_high,428.4900,75.0000,0.3734,0.1382,-0.0506,wide_spread_plus_entry_exit_cost,COST_ISSUE,KEEP_SUSPENDED,REQUIRE_COST_R_AND_SPREAD_BLOCK,Keep suspended in future paper-shadow design unless cost-in-R and spread gates block this condition.
FAM00008,PH3EXP00015,2026.05.25 12:50:00,SHORT,latest_swing_low,333.0400,75.0000,0.4804,0.0312,-0.1576,wide_spread_plus_entry_exit_cost,COST_ISSUE,KEEP_SUSPENDED,REQUIRE_COST_R_AND_SPREAD_BLOCK,Keep suspended in future paper-shadow design unless cost-in-R and spread gates block this condition.
FAM00010,PH3EXP00019,2026.05.25 15:05:00,LONG,latest_swing_high,191.8100,50.0000,0.5735,-0.0619,-0.2507,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,KEEP_SUSPENDED,REQUIRE_TIGHT_STOP_COST_BLOCK,Keep suspended in future paper-shadow design unless tight-stop cost survival is proven.
FAM00011,PH3EXP00021,2026.05.25 15:15:00,LONG,latest_swing_high,283.0900,75.0000,0.5652,-0.0536,-0.2424,wide_spread_plus_entry_exit_cost,COST_ISSUE,KEEP_SUSPENDED,REQUIRE_COST_R_AND_SPREAD_BLOCK,Keep suspended in future paper-shadow design unless cost-in-R and spread gates block this condition.
FAM00012,PH3EXP00023,2026.05.25 16:45:00,LONG,latest_swing_high,177.0400,50.0000,0.6213,-0.1097,-0.2985,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,KEEP_SUSPENDED,REQUIRE_TIGHT_STOP_COST_BLOCK,Keep suspended in future paper-shadow design unless tight-stop cost survival is proven.
FAM00013,PH3EXP00025,2026.05.25 16:50:00,LONG,latest_swing_high,229.1200,50.0000,0.4801,0.0315,-0.1573,normal_spread_small_stop,UNKNOWN,KEEP_SUSPENDED,REQUIRE_MANUAL_REVIEW_BEFORE_PROMOTION,Keep suspended pending manual review; current evidence does not justify promotion.
FAM00014,PH3EXP00027,2026.05.25 22:20:00,LONG,latest_swing_high,228.1100,50.0000,0.4822,0.0294,-0.1594,normal_spread_small_stop,UNKNOWN,KEEP_SUSPENDED,REQUIRE_MANUAL_REVIEW_BEFORE_PROMOTION,Keep suspended pending manual review; current evidence does not justify promotion.
FAM00034,PH3EXP00066,2026.05.27 06:05:00,SHORT,latest_swing_low,413.7600,75.0000,0.3867,0.1249,-0.0639,wide_spread_plus_entry_exit_cost,COST_ISSUE,KEEP_SUSPENDED,REQUIRE_COST_R_AND_SPREAD_BLOCK,Keep suspended in future paper-shadow design unless cost-in-R and spread gates block this condition.
FAM00039,PH3EXP00075,2026.05.27 09:55:00,LONG,latest_swing_high,211.6700,50.0000,0.5197,-0.0081,-0.1969,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,KEEP_SUSPENDED,REQUIRE_TIGHT_STOP_COST_BLOCK,Keep suspended in future paper-shadow design unless tight-stop cost survival is proven.
FAM00046,PH3EXP00086,2026.05.27 18:00:00,SHORT,previous_weekly_low,344.9300,75.0000,0.4639,0.0477,-0.1411,wide_spread_plus_entry_exit_cost,COST_ISSUE,KEEP_SUSPENDED,REQUIRE_COST_R_AND_SPREAD_BLOCK,Keep suspended in future paper-shadow design unless cost-in-R and spread gates block this condition.
FAM00049,PH3EXP00089,2026.05.27 19:55:00,SHORT,previous_weekly_low,210.4200,50.0000,0.5228,-0.0112,-0.2000,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,KEEP_SUSPENDED,REQUIRE_TIGHT_STOP_COST_BLOCK,Keep suspended in future paper-shadow design unless tight-stop cost survival is proven.
